"","Species","Population","Study.Site","Mom","ID","f.ind","Mi","RGR23","RGR29","RGR11","RGR17","RGR35","expt","Pupated","Time.to.Pupation","Pupa.wt","Eclosed","Time.to.Eclosion","Sex","Butt..Wt","Fecundity","period","uid"
"93","Pieris_rapae","Seattle_WA","Study.Site",18,17,"18_17_june",46.86,0.0229932754743093,0.0207404409778909,0.00534411928875342,0.0114424378394581,0.025610293031574,"june",1,10,202.82,1,19,"M",88.06,NA,"recent","18_17_june"
"94","Pieris_rapae","Seattle_WA","Study.Site",18,18,"18_18_june",37.42,0.0302367059693854,0.0201817321053309,0.00242741395857652,0.00619250605200138,0.0223089550042957,"june",0,NA,NA,0,NA,NA,NA,NA,"recent","18_18_june"
"95","Pieris_rapae","Seattle_WA","Study.Site",18,19,"18_19_june",46.01,0.0204129234809707,0.0198761654115791,0.00779889046787352,0.00233785682685722,0.0284525383922047,"june",1,10,193.99,1,19,"F",85.34,NA,"recent","18_19_june"
"96","Pieris_rapae","Seattle_WA","Study.Site",18,20,"18_20_june",37.55,0.0118003650429434,0.0283864559679604,0.00196386679057589,0.0095732205998651,0.0153689493844323,"june",1,10,167.39,1,19,"F",68.66,NA,"recent","18_20_june"
"97","Pieris_rapae","Seattle_WA","Study.Site",18,21,"18_21_june",45.26,0.0171455277058766,0.02835218404098,0.00248749234417584,0.0087294966885845,0.0255395871411005,"june",1,10,209.74,1,19,"M",82.95,NA,"recent","18_21_june"
"98","Pieris_rapae","Seattle_WA","Study.Site",18,22,"18_22_june",40.22,0.0175290614711113,0.0269022997901638,0.00414726045295214,0.000949288096180043,0.0223939717430834,"june",0,NA,NA,0,NA,NA,NA,NA,"recent","18_22_june"
"99","Pieris_rapae","Seattle_WA","Study.Site",18,23,"18_23_june",42.59,0.0133842238682612,0.0192665754797996,0.00582068400107084,0.00277617458049751,0.0341688999563648,"june",1,9,175.54,1,18,"F",89.54,NA,"recent","18_23_june"
"100","Pieris_rapae","Seattle_WA","Study.Site",18,24,"18_24_june",39.67,0.0167712892308209,0.0259433003733537,0.00380099682384621,0.00988029057077715,0.0221842233386043,"june",1,10,175.56,1,19,"M",59.55,NA,"recent","18_24_june"
"101","Pieris_rapae","Seattle_WA","Study.Site",18,25,"18_25_june",35.05,0.0108055762183748,0.0145472905502085,0.00709149109409422,0.0119719260022293,0.0200504121603369,"june",1,10,174.51,1,19,"F",79.52,NA,"recent","18_25_june"
"102","Pieris_rapae","Seattle_WA","Study.Site",18,26,"18_26_june",39.36,0.0309831296436156,0.0209666660197948,0.0107057123583009,0.00187451512429477,0.029008601509926,"june",0,NA,NA,0,NA,NA,NA,NA,"recent","18_26_june"
"103","Pieris_rapae","Seattle_WA","Study.Site",18,27,"18_27_june",42.42,0.0235690778467617,0.0208036202012391,0.00708489532040233,-0.00161631070891574,0.0166964028737057,"june",1,9,174.83,1,18,"F",90.56,NA,"recent","18_27_june"
"104","Pieris_rapae","Seattle_WA","Study.Site",18,28,"18_28_june",45.35,0.0245621027403597,0.0141850900323905,0.0052248646563778,0.00700618243735996,0.0401568635985928,"june",1,10,202.92,1,20,"F",96.45,NA,"recent","18_28_june"
"105","Pieris_rapae","Seattle_WA","Study.Site",18,29,"18_29_june",45.52,0.0207077727092137,0.018783314091773,0.0062318558358854,-0.000106041790525551,0.0222320304593282,"june",1,9,191.67,1,18,"F",88.45,NA,"recent","18_29_june"
"106","Pieris_rapae","Seattle_WA","Study.Site",18,30,"18_30_june",46.58,0.0220572560231881,0.0265270826667365,0.00640637110264938,0.00587698500315999,0.0203111016528496,"june",1,9,182.31,1,18,"F",91.23,NA,"recent","18_30_june"
"107","Pieris_rapae","Seattle_WA","Study.Site",18,31,"18_31_june",41.55,0.033061511762912,0.0307094351431707,0.00702136774697543,-0.00019721312768802,-0.00291868382405164,"june",1,9,176.34,1,18,"F",109.66,NA,"recent","18_31_june"
"108","Pieris_rapae","Seattle_WA","Study.Site",18,32,"18_32_june",48.85,0.0309912321805117,0.0224515409698422,0.00512884511602894,0.0123152182739382,0.032755154353874,"june",1,10,205.14,1,19,"F",84.51,NA,"recent","18_32_june"
"109","Pieris_rapae","Seattle_WA","Study.Site",19,7,"19_7_june",42.08,0.017133742554374,0.0272655975597253,0.00525426991601847,0.00992716214006972,0.0368326959596267,"june",0,NA,NA,0,NA,NA,NA,NA,"recent","19_7_june"
